# Major US Cities Coordinate Mapping
# Format: city-state -> latitude;longitude
# For use in fixing incorrect Kansas coordinates (39.8283, -98.5795)

# Top 10 Largest US Cities
new-york-ny -> 40.7128;-74.0060
los-angeles-ca -> 34.0522;-118.2437
chicago-il -> 41.8781;-87.6298
houston-tx -> 29.7604;-95.3698
phoenix-az -> 33.4484;-112.0740
philadelphia-pa -> 39.9526;-75.1652
san-antonio-tx -> 29.4241;-98.4936
san-diego-ca -> 32.7157;-117.1611
dallas-tx -> 32.7767;-96.7970
san-jose-ca -> 37.3382;-121.8863

# Major Texas Cities
austin-tx -> 30.2672;-97.7431
fort-worth-tx -> 32.7555;-97.3308
el-paso-tx -> 31.7619;-106.4850
arlington-tx -> 32.7357;-97.1081
corpus-christi-tx -> 27.8006;-97.3964
plano-tx -> 33.0198;-96.6989
laredo-tx -> 27.5306;-99.4803
lubbock-tx -> 33.5779;-101.8552
garland-tx -> 32.9126;-96.6389
irving-tx -> 32.8140;-96.9489

# Major California Cities
san-francisco-ca -> 37.7749;-122.4194
sacramento-ca -> 38.5816;-121.4944
fresno-ca -> 36.7378;-119.7871
long-beach-ca -> 33.7701;-118.1937
oakland-ca -> 37.8044;-122.2712
bakersfield-ca -> 35.3733;-119.0187
anaheim-ca -> 33.8366;-117.9143
santa-ana-ca -> 33.7455;-117.8677
riverside-ca -> 33.9533;-117.3962
stockton-ca -> 37.9577;-121.2908
irvine-ca -> 33.6846;-117.8265
chula-vista-ca -> 32.6401;-117.0842

# Major Florida Cities
miami-fl -> 25.7617;-80.1918
tampa-fl -> 27.9506;-82.4572
orlando-fl -> 28.5383;-81.3792
jacksonville-fl -> 30.3322;-81.6557
st-petersburg-fl -> 27.7676;-82.6403
hialeah-fl -> 25.8576;-80.2781
tallahassee-fl -> 30.4383;-84.2807
fort-lauderdale-fl -> 26.1224;-80.1373
cape-coral-fl -> 26.5629;-81.9495
pembroke-pines-fl -> 26.0031;-80.2241
hollywood-fl -> 26.0112;-80.1495
coral-springs-fl -> 26.2712;-80.2706
miramar-fl -> 25.9873;-80.2323
gainesville-fl -> 29.6516;-82.3248
port-st-lucie-fl -> 27.2730;-80.3582

# Major Midwest Cities
detroit-mi -> 42.3314;-83.0458
indianapolis-in -> 39.7684;-86.1581
columbus-oh -> 39.9612;-82.9988
milwaukee-wi -> 43.0389;-87.9065
kansas-city-mo -> 39.0997;-94.5786
cleveland-oh -> 41.4993;-81.6944
minneapolis-mn -> 44.9778;-93.2650
st-louis-mo -> 38.6270;-90.1994
cincinnati-oh -> 39.1031;-84.5120
pittsburgh-pa -> 40.4406;-79.9959
madison-wi -> 43.0731;-89.4012
des-moines-ia -> 41.5868;-93.6250
omaha-ne -> 41.2565;-95.9345
toledo-oh -> 41.6528;-83.5379
akron-oh -> 41.0814;-81.5190
dayton-oh -> 39.7589;-84.1916
grand-rapids-mi -> 42.9634;-85.6681
kansas-city-ks -> 39.1141;-94.6275

# Major Northeast Cities (besides NYC, Philadelphia)
boston-ma -> 42.3601;-71.0589
baltimore-md -> 39.2904;-76.6122
washington-dc -> 38.9072;-77.0369
newark-nj -> 40.7357;-74.1724
jersey-city-nj -> 40.7282;-74.0776
buffalo-ny -> 42.8864;-78.8784
rochester-ny -> 43.1610;-77.6109
albany-ny -> 42.6526;-73.7562
syracuse-ny -> 43.0481;-76.1474
providence-ri -> 41.8240;-71.4128
bridgeport-ct -> 41.1865;-73.1952
new-haven-ct -> 41.3083;-72.9279
hartford-ct -> 41.7658;-72.6734
stamford-ct -> 41.0534;-73.5387
worcester-ma -> 42.2626;-71.8023
springfield-ma -> 42.1015;-72.5898
manchester-nh -> 42.9956;-71.4548
lowell-ma -> 42.6334;-71.3162
cambridge-ma -> 42.3736;-71.1097

# Major Southeast Cities
