2025-08-05T17:36:14.308574 - 
Updating Jekyll layouts...
2025-08-05T17:36:14.309105 - ✅ Updated layout: practice-area.html
2025-08-05T17:36:14.309474 - ✅ Updated layout: default.html
2025-08-05T17:36:14.309753 - ✅ Updated layout: default-optimized.html
2025-08-05T17:36:14.310425 - ✅ Updated layout: modern-default.html
2025-08-05T17:36:14.310454 - 
Migrating 1322 pages without layout...
2025-08-05T17:36:14.312548 - ✅ Migrated: /Users/chrisskerritt/SEC/./_includes/navigation-fixed.html
2025-08-05T17:36:14.313311 - ✅ Migrated: /Users/chrisskerritt/SEC/./_includes/navigation-backup.html
2025-08-05T17:36:14.313561 - ✅ Migrated: /Users/chrisskerritt/SEC/./_includes/breadcrumb.html
2025-08-05T17:36:14.315602 - ✅ Migrated: /Users/chrisskerritt/SEC/./_includes/navigation.html
2025-08-05T17:36:14.322805 - ✅ Migrated: /Users/chrisskerritt/SEC/./resources/index.html
2025-08-05T17:36:14.329581 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/glastonbury-ct-forensic-economist.html
2025-08-05T17:36:14.330111 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/brattleboro-vt-forensic-economist.html
2025-08-05T17:36:14.330517 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/salem-nh-forensic-economist.html
2025-08-05T17:36:14.330946 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/hartford-ct-forensic-economist.html
2025-08-05T17:36:14.331331 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/naugatuck-ct-forensic-economist.html
2025-08-05T17:36:14.331833 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/waterville-me-forensic-economist.html
2025-08-05T17:36:14.332235 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/burlington-vt-forensic-economist.html
2025-08-05T17:36:14.332612 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/woonsocket-ri-forensic-economist.html
2025-08-05T17:36:14.332945 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/wethersfield-ct-forensic-economist.html
2025-08-05T17:36:14.333456 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/laconia-nh-forensic-economist.html
2025-08-05T17:36:14.333799 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/westfield-ma-forensic-economist.html
2025-08-05T17:36:14.334311 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/framingham-ma-forensic-economist.html
2025-08-05T17:36:14.334791 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/newport-ri-forensic-economist.html
2025-08-05T17:36:14.335254 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/norwalk-ct-forensic-economist.html
2025-08-05T17:36:14.335595 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/peabody-ma-forensic-economist.html
2025-08-05T17:36:14.336414 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/brockton-ma-forensic-economist.html
2025-08-05T17:36:14.336929 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/barnstable-ma-forensic-economist.html
2025-08-05T17:36:14.337250 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/attleboro-ma-forensic-economist.html
2025-08-05T17:36:14.337576 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/east-providence-ri-forensic-economist.html
2025-08-05T17:36:14.337867 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/south-portland-me-forensic-economist.html
2025-08-05T17:36:14.338159 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/middletown-ct-forensic-economist.html
2025-08-05T17:36:14.338451 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/lynn-ma-forensic-economist.html
2025-08-05T17:36:14.338736 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/meriden-ct-forensic-economist.html
2025-08-05T17:36:14.339022 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/stratford-ct-forensic-economist.html
2025-08-05T17:36:14.339340 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/keene-nh-forensic-economist.html
2025-08-05T17:36:14.339624 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/lowell-ma-forensic-economist.html
2025-08-05T17:36:14.339915 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/fall-river-ma-forensic-economist.html
2025-08-05T17:36:14.340193 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/waltham-ma-forensic-economist.html
2025-08-05T17:36:14.340480 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/milford-ct-forensic-economist.html
